,,,,,
,Control,Description,FAIR CAM Control Function Domain - Control Functions,Type,Annual cost (USD)
,Data at Rest Encryption (DRE),"Data at Rest Encryption control enables encryption of sensitive data stored on physical or digital storage devices to protect it from unauthorized access or disclosure. This control ensures that the data remains unintelligible without the appropriate decryption key, even if an attacker gains access to the storage device. At its core, Data at Rest Encryption aims to safeguard sensitive information, such as personally identifiable information (PII), financial records, intellectual property, and other confidential data. At the same time, it resides in storage, whether it's on a hard drive, a database, or in the cloud. This encryption process scrambles the data using complex algorithms, rendering it unreadable to anyone who does not have the decryption key.

Data at Rest Encryption also helps organizations maintain compliance with regulatory requirements and industry standards that mandate the protection of sensitive data. For example, regulations such as GDPR, HIPAA, and PCI DSS require organizations to implement appropriate safeguards to protect sensitive data, including encryption of data at rest. Furthermore, Data at Rest Encryption enhances the security of data backups and archives by ensuring that sensitive information remains protected even when it's not actively being used or accessed. It is significant for organizations that store sensitive data for extended periods, as it reduces the risk of data breaches and unauthorized access over time.

Implementing Data at Rest Encryption requires organizations to establish encryption policies, select appropriate encryption algorithms and key management practices, and deploy encryption solutions across their storage infrastructure. It's essential to carefully manage encryption keys to ensure secure and reliable access to encrypted data while preventing unauthorized access. Regular monitoring and auditing of Data at Rest Encryption processes and practices are essential to ensure compliance, detect potential vulnerabilities or misconfigurations, and address security incidents promptly.

In summary, Data at Rest Encryption control helps organizations protect sensitive data stored on storage devices from unauthorized access or disclosure. By encrypting data at rest, organizations can reduce the impact and potentially prevent a successful data exfiltration attack, maintain compliance with regulatory requirements, and safeguard sensitive information from prying eyes and malicious actors.","LEC - Prevention - Resistance

LEC - Response - Loss Reduction

VMC - Identification - Control Monitoring

VMC - Correction - Implementation

DSC - Prevent Misaligned Decisions - Define Expectations and Objectives",technical,30000
,Data Backup and Recovery (DBR),"Data Backup and Recovery is a control that enables organizations to create copies of critical data and establish procedures to restore this data in the event of data loss, data corruption, or cyberattacks. This control ensures data assets' availability, integrity, and resilience, enabling organizations to recover quickly from disruptions and maintain business continuity. At its core, Data Backup and Recovery involves regularly backing up essential data, such as customer records, financial information, intellectual property, and operational data, to secondary storage locations, such as backup servers, tape drives, or cloud storage services. These backups serve as redundant copies of data that organizations can use to restore information in case the primary data sources become inaccessible or compromised. One of the main objectives of Data Backup and Recovery is to mitigate the risk of losing data events such as hardware failures, software errors, natural disasters, human errors, and malicious activities such as ransomware attacks.

Implementing Data Backup and Recovery requires organizations to establish backup policies, procedures, and schedules tailored to their business needs and risk profile. It includes identifying critical data sources, defining backup frequency and retention periods, selecting appropriate backup technologies and storage solutions, and regularly testing backup and recovery processes to ensure their effectiveness. Regular monitoring, testing, and auditing of Data Backup and Recovery processes are essential to verify the integrity of backup data, validate recovery procedures, and identify and address any gaps or deficiencies in the backup infrastructure.

In summary, Data Backup and Recovery is a security control that helps organizations protect critical data assets, mitigate the risk of data loss or data corruption, and maintain business continuity in the face of disruptions. By establishing robust backup strategies, implementing reliable recovery procedures, and adhering to best practices in data protection, organizations can ensure the availability, integrity, and resilience of their data assets and safeguard their operations against potential threats and vulnerabilities.","LEC - Response - Resilience

VMC - Identification - Control Monitoring

DSC - Prevent Misaligned Decisions - Define Expectations and Objectives",technical,30000
,Data Classification and Handling (DCH),"Data classification and handling controls aim to protect sensitive information from unauthorized access, disclosure, or misuse. It involves categorizing data based on sensitivity, value, regulatory requirements, etc. This process helps identify the appropriate level of protection (CIA requirements) needed for different data types. By assigning classification labels, organizations can apply security measures commensurate with the level of risk posed by each data category.

Handling procedures govern how data is collected, stored, processed, transmitted, and disposed of throughout its lifecycle. These procedures outline security protocols and controls to ensure that data remains secure and confidential throughout the lifecycle. Furthermore, data handling practices include guidelines for sharing data with third parties, such as vendors or partners, to minimize the risk of data breaches or compliance violations. Additionally, procedures for data retention and disposal help organizations manage data in accordance with legal and regulatory requirements while mitigating the risk of data exposure.

In Summary, data classification and handling enable organizations to protect sensitive information, maintain compliance with applicable regulations, and mitigate the risk of data breaches or unauthorized access. Organizations can ensure their data assets' confidentiality, integrity, and availability by implementing robust classification and handling procedures.

Note: 
Data classification and Data handling are two controls and different processes; we have combined them as one control to reduce the redundancy between both procedures and incorporate implementation-level practicality. For example, an organization may define the data classification requirements before deciding on the data handling requirements within its lifecycle. Regulatory requirements for data handling may also inspire the data classification requirements.
However, organizations may also consider these as separate controls as per their governance objectives.",DSC - Prevent Misaligned Decisions - Define Expectations and Objectives,administrative,15000
,Data in Transit Encryption (DTE),"Data in Transit Encryption is a security control that encrypts sensitive data while we transmit it between devices, networks, or systems. This control ensures that data remains confidential and unintelligible to prevent unauthorized usage during transmission over potentially insecure communication channels, such as the Internet or wireless networks. At its core, Data in Transit Encryption utilizes encryption algorithms to scramble data into an unreadable format before transmitting it from one endpoint to another. This encryption process ensures that even if intercepted by unauthorized parties, the data remains unintelligible and can only be accessed using an appropriate decryption key. One of the main objectives of Data in Transit Encryption is to safeguard sensitive information, such as personally identifiable information (PII), financial data, intellectual property, and other confidential data, while transmitted across networks. This protection extends to various communication channels, including email, web browsing, file transfers, messaging applications, and remote access connections.

Implementing Data in Transit Encryption involves deploying encryption technologies, such as SSL/TLS protocols, VPN (Virtual Private Network) connections, and secure communication protocols across network infrastructure and endpoints. Organizations must securely configure these encryption mechanisms and ensure that encryption keys are managed securely to prevent unauthorized access to encrypted data. Regular monitoring and auditing of Data in Transit Encryption processes and practices are essential to ensure compliance, detect potential vulnerabilities or misconfigurations, and address security incidents promptly.

In summary, Data in Transit Encryption control helps organizations protect sensitive data while transmitted across networks or communication channels. By encrypting data during transit, organizations can maintain the confidentiality, integrity, and privacy of their data assets, mitigate the risk of unauthorized access or interception, and comply with regulatory requirements and industry standards for data protection.","LEC - Prevention - Resistance

VMC - Identification - Control Monitoring

VMC - Correction - Implementation",technical,30000
,Data Loss Prevention (DLP),"Data Loss Prevention (DLP) enables organizations to prevent the unauthorized disclosure, leakage, or loss of sensitive information from within an organization. This control encompasses a set of policies, technologies, and processes designed to identify, monitor, and protect sensitive data wherever it resides, whether it's on-premises, in the cloud, or being transmitted across networks. At its core, Data Loss Prevention involves identifying and classifying sensitive data, such as personally identifiable information (PII), intellectual property, financial records, and confidential business data. Organizations establish policies and rules to define what constitutes sensitive data and then employ technologies such as content inspection, contextual analysis, and machine learning algorithms to detect and monitor the movement of this data within the organization's network and endpoints.

One of the main objectives of Data Loss Prevention is to prevent unauthorized access to sensitive data and mitigate the risk of data breaches, data leaks, or insider threats. By implementing DLP solutions, organizations can enforce policies that control the transfer, sharing, or storage of sensitive data, thereby reducing the likelihood of data loss incidents and protecting the organization's reputation and brand.

Implementing Data Loss Prevention involves several key steps, including:
1. Data Discovery and Classification: Identifying and categorizing sensitive data based on its type, sensitivity, and importance to the organization.
2. Policy Creation and Enforcement: Establishing policies and rules to govern the handling, transmitting, and storing sensitive data and enforcing these policies across the organization's network and endpoints.
3. Monitoring and Detection: Deploying DLP solutions to monitor data flows, detect policy violations, and alert security teams to potential data loss incidents in real-time.
4. Incident Response and Remediation: Responding to data loss incidents promptly, investigating the root cause of breaches, and implementing remediation measures to prevent future occurrences.

In summary, Data Loss Prevention control helps organizations protect sensitive data from unauthorized access, disclosure, or loss. By implementing DLP solutions, organizations can identify, monitor, and protect sensitive data wherever it resides, mitigate the risk of data breaches, comply with regulatory requirements, and safeguard their reputation and brand.","LEC - Prevention - Resistance

LEC - Detection - Monitoring

LEC - Detection - Visibility

LEC - Response - Event Termination

DSC - Prevent Misaligned Decisions - Define Expectations and Objectives

DSC - Prevent Misaligned Decisions - Provide Situational Awareness - Provide Data - Provide Asset Data",technical,100000
,Data Privacy Policy (PRI),"A Data Privacy Policy is a security control that enables organizations to protect personal and sensitive information. It involves developing, implementing, and maintaining policies, procedures, and practices to ensure compliance with data privacy regulations and standards.

At its core, a Data Privacy Policy focuses on understanding data flows, storage locations, access controls, and potential privacy vulnerabilities. The policy encompasses measures to establish and communicate privacy guidelines to employees, contractors, and third-party partners, emphasizing their responsibilities in handling sensitive data. It defines the requirements for implementing technical controls, such as encryption, access controls, data anonymization, and monitoring mechanisms, to safeguard data against unauthorized access, disclosure, or misuse.

By establishing a robust Data Privacy Policy, organizations demonstrate their commitment to protecting individuals' privacy rights, enhancing customer trust, mitigating legal and financial risks associated with data breaches, and maintaining a positive reputation in the marketplace.",DSC - Prevent Misaligned Decisions - Define Expectations and Objectives,administrative,15000
,DDoS Protection (DDOS),"DDoS Protection, or Distributed Denial of Service Protection, is a security control designed to defend against and mitigate the impact of Distributed Denial of Service (DDoS) attacks. These attacks aim to overwhelm a targeted network, system, or service with malicious traffic, rendering it inaccessible to legitimate users and disrupting normal operations. At its core, DDoS Protection involves implementing strategies, technologies, and processes to detect, filter, and mitigate attacks in real-time, ensuring the availability and reliability of critical network resources and services. This control encompasses a range of proactive and reactive measures to prevent DDoS attacks from causing disruptions and downtime.

One of the main objectives of DDoS Protection is to maintain the availability and performance of network infrastructure, web applications, and online services by defending against the debilitating effects of DDoS attacks. DDoS Protection solutions typically employ traffic analysis, rate limiting, IP filtering, and traffic diversion techniques to identify and mitigate DDoS attacks effectively. These solutions may be deployed at various points within the network infrastructure, including on-premises appliances and cloud-based platforms, or through the services of third-party DDoS mitigation providers.

In summary, DDoS Protection is a security control that helps organizations defend against and mitigate the impact of DDoS attacks, ensuring the availability and reliability of network resources and online services. By implementing robust DDoS protection mechanisms and response strategies, organizations can minimize downtime, protect their reputation, and maintain the trust and confidence of customers, partners, and stakeholders.","LEC - Prevention - Resistance

LEC - Detection - Visibility

LEC - Detection - Recognition",technical,30000
,Deception Technology (DT),"Deception technology serves as an security control within organizations, aimed at detecting and mitigating cyber threats by luring attackers into deceptive traps. It involves deploying decoy systems, networks, applications, and data assets across the IT environment, mimicking genuine resources. These decoys appear valuable targets to potential attackers, enticing them to engage and reveal their presence.

The primary objective of deception technology is to detect malicious activity early in the attack lifecycle before real damage occurs. Organizations can detect unauthorized access attempts, attacker lateral movement, and reconnaissance activities by strategically placing decoys throughout the network. This proactive approach enables security teams to gather valuable intelligence about attacker tactics, techniques, and procedures (TTPs), enhancing threat detection and response capabilities. Deception technology operates on the principle of minimizing the ""dwell time"" of attackers within the network, reducing the likelihood of successful breaches and data exfiltration. It complements traditional security controls such as firewalls, antivirus software, and intrusion detection systems (IDS), providing an additional layer of defense against sophisticated adversaries.

Furthermore, deception technology offers benefits beyond threat detection, including threat intelligence enrichment, incident response orchestration, and security posture improvement. By analyzing the interactions with decoys, organizations can gain insights into emerging threats, enhance incident response workflows, and fine-tune security strategies to protect their assets better.

In summary, deception technology empowers organizations to turn the tables on attackers, transforming their network into a hostile environment where every move is met with suspicion. By leveraging deception as a proactive security measure, organizations can strengthen their cybersecurity posture and mitigate the risk of successful cyber attacks.","LEC - Detection - Monitoring

LEC - Detection - Visibility

LEC - Detection - Recognition",technical,100000
,Dynamic Application Security Testing (DAST),"Dynamic Application Security Testing (DAST) is a security control focused on identifying and addressing vulnerabilities in  applications by simulating real-world attack scenarios. This control involves automated scanning and testing of web, mobile, or thick-client applications to uncover security flaws, weaknesses, and misconfigurations that attackers could exploit. At its core, Dynamic Application Security Testing aims to proactively identify and remediate security vulnerabilities within applications before malicious actors can exploit them. Unlike static code analysis, which examines the source code of an application for vulnerabilities, DAST evaluates the application in its running state by sending specially crafted requests and payloads to identify weaknesses in its defenses.

One of the main objectives of DAST is to identify common security vulnerabilities and weaknesses in applications, such as SQL injection, cross-site scripting (XSS), authentication flaws, and insecure direct object references. By systematically scanning and testing applications for these vulnerabilities, organizations can identify and remediate security issues before they are exploited by attackers, reducing the risk of data breaches and unauthorized access. DAST solutions typically interact with web applications through their user interfaces, emulating the behavior of an attacker attempting to exploit vulnerabilities. These solutions perform dynamic analysis of the application's runtime behavior, identifying potential security weaknesses and generating reports detailing the findings, including recommendations for remediation.

In summary, Dynamic Application Security Testing is a security control that helps organizations identify and remediate vulnerabilities within applications to mitigate the risk of data breaches and unauthorized access. By conducting regular DAST scans, organizations can proactively identify and address security weaknesses, comply with regulatory requirements, and enhance the overall security posture of their web applications.",VMC - Identification - Control Monitoring,technical,50000
,Email Security and Protection (ESP),"Email Security and Protection is a security control to safeguard organizations against email-borne threats, such as phishing attacks, malware distribution, spam, and data leakage. This control encompasses a range of technologies, policies, and practices designed to detect, prevent, and mitigate the risks associated with email-based threats. At its core, email security and protection involves implementing measures to secure the email infrastructure, filter incoming and outgoing email traffic, authenticate senders, and educate users about best practices for email security. The goal is to ensure email communication confidentiality, integrity, and availability within the organization and protect against external threats targeting email systems.

One of the main objectives of Email Security and Protection is to detect and block malicious emails before they reach end-users inboxes. It includes deploying email filtering solutions that scan incoming emails for indicators of phishing, malware, malicious attachments, suspicious links, and other forms of malicious content. Email Security and Protection also involves implementing authentication mechanisms, such as SPF (Sender Policy Framework), DKIM (DomainKeys Identified Mail), and DMARC (Domain-based Message Authentication, Reporting, and Conformance), and verifying the authenticity of email senders and preventing email spoofing and domain impersonation attacks. These authentication protocols help organizations ascertain the legitimacy of email messages and detect forged or fraudulent emails.

In summary, Email Security and Protection is a security control that helps organizations defend against email-borne threats and protect the integrity and confidentiality of email communications. By implementing robust email security measures, organizations can reduce the risk of phishing attacks, malware infections, and data breaches stemming from email-related vulnerabilities, safeguarding their sensitive information and maintaining the trust and confidence of their stakeholders.",LEC - Prevention - Avoidance,technical,30000
,Endpoint Detection and Response (EDR),"Endpoint Detection and Response (EDR) is a security control that protects endpoints from advanced cyber threats and malicious activities. EDR solutions continuously monitor endpoint devices for signs of suspicious behavior, unauthorized access, and potential security breaches, enabling rapid detection, investigation, and response to security incidents. At its core, Endpoint Detection and Response combines advanced endpoint telemetry, behavior analysis, and threat intelligence to identify and mitigate security threats at the endpoint level. Unlike traditional antivirus solutions that rely on signature-based detection, EDR solutions leverage advanced methods, such as machine learning, anomaly detection, and behavioral analysis, to identify and respond to unknown or zero-day threats. One of the main objectives of Endpoint Detection and Response is to provide real-time visibility into endpoint activity and security events, allowing security teams to detect and investigate potential threats quickly. By continuously monitoring endpoint devices for indicators of compromise, unusual behavior, or malicious activity, EDR solutions enable organizations to detect and respond to security incidents promptly, minimizing the impact of cyber attacks.

In summary, Endpoint Detection and Response is a security control that helps organizations protect endpoint devices from advanced cyber threats and respond effectively to security incidents. By continuously monitoring endpoint activity, detecting indicators of compromise, and enabling rapid incident response, EDR solutions enhance the security posture of organizations and reduce the risk of data breaches and cyber attacks targeting endpoint devices.","LEC - Prevention - Resistance

LEC - Detection - Visibility

LEC - Detection - Monitoring

LEC - Detection - Recognition",technical,100000
,File Integrity Monitoring (FIM),"File Integrity Monitoring (FIM) is a security control designed to monitor and track changes to critical files and system configurations in real time. This control helps organizations detect unauthorized modifications, tampering, or corruption of files and configurations, which could indicate potential security breaches, malware infections, or insider threats. At its core, File Integrity Monitoring involves continuously monitoring the integrity of files, directories, and system configurations on servers, workstations, and other critical endpoints. By comparing the current state of files and configurations to a known baseline or predefined security policy, FIM solutions can identify unauthorized changes or deviations from the expected state, enabling security teams to respond promptly to potential security incidents.

One of the key objectives of File Integrity Monitoring is to detect and alert unauthorized changes to critical files and configurations, such as system files, application binaries, configuration files, and registry settings. By monitoring file attributes such as file size, permissions, checksums, and timestamps, FIM solutions can detect alterations made by malicious actors attempting to modify or manipulate system resources.

In summary, File Integrity Monitoring is a security control that helps organizations detect and respond to unauthorized changes to critical files and system configurations. By continuously monitoring file integrity, FIM solutions provide organizations with the visibility and control necessary to protect against insider threats, malware infections, and unauthorized access to sensitive data, enhancing the organization's overall security posture.","LEC - Detection - Monitoring
LEC - Detection - Recognition",technical,30000
,Hardened Cloud (HAC),"Hardened Cloud refers to the application of secure configuration settings to cloud technologies, such as infrastructure as a service (IaaS), platform as a service (PaaS), and software as a service (SaaS) offerings. This security control involves configuring cloud infrastructure and services according to security best practices and established security baselines to reduce vulnerabilities and enhance resilience.

Secure Configuration Management is at the core of Hardened Cloud. It focuses on hardening cloud infrastructure and services by applying secure configuration settings to protect against unauthorized access and other security risks. The main objective of Hardened Cloud is to establish a robust security posture by minimizing potential avenues of exploitation and ensuring that cloud environments are configured securely from the outset.

In summary, Hardened Cloud is a security control that helps organizations protect their cloud-based assets and data from cyber threats and vulnerabilities by applying secure configuration settings. By adhering to hardening guidelines and best practices, organizations can enhance the resilience and security posture of their cloud environments.",LEC - Prevention - Resistance,technical,50000
,Hardened Operating System and Services (HAOS),"Hardened Operating System and Services refers to the application of secure configuration settings to operating systems and their associated services. This security control involves configuring the OS and services according to security best practices and established security baselines to minimize vulnerabilities and reduce the attack surface.

Secure Configuration Management is at the core of HAOS. It focuses on hardening the OS and services by applying secure configuration settings to enhance resilience and protect against unauthorized access and other security risks. The main objective of HAOS is to strengthen the security posture of the operating system and services through secure configuration settings. This includes removing unnecessary services, disabling unused features, and ensuring that the OS and services are configured securely from the outset.

In summary, Hardened Operating System and Services is a security control focused on applying secure configuration settings to operating systems and services. By adhering to hardening guidelines and best practices, organizations can enhance the resilience and security posture of their IT infrastructure.",LEC - Prevention - Resistance,technical,50000
,Hardened SaaS Application (HASS),"Hardened SaaS Application refers to the implementation of secure configuration settings to enhance the security posture of SaaS applications, ensuring the protection of sensitive data, applications, and resources hosted in the cloud. This security control involves configuring SaaS applications according to security best practices and hardening guidelines to mitigate the risk of data breaches, unauthorized access, and other security threats associated with SaaS deployments.

Secure Configuration Management is at the core of Hardened SaaS Applications. It focuses on hardening cloud-based software solutions by applying secure configuration settings to protect against cyber threats and vulnerabilities. This includes ensuring that SaaS applications adhere to industry best practices, security standards, and compliance requirements to maintain the confidentiality, integrity, and availability of data and services. The main objective of Hardened SaaS Applications is to establish a secure environment for SaaS deployments, mitigating the risk of security incidents and data breaches that could compromise sensitive information and disrupt business operations.

In summary, Hardened SaaS Applications are a security control that helps organizations protect their cloud-based software solutions from cyber threats and vulnerabilities by applying secure configuration settings. By adhering to hardening guidelines and best practices, organizations can enhance the security posture of their SaaS applications, reduce the risk of data breaches and security incidents, and maintain the confidentiality, integrity, and availability of their data and services.",LEC - Prevention - Resistance,technical,50000
,Host Intrusion Detection and Prevention System (HIDS),"Host Intrusion Detection and Prevention system is a security control designed to monitor and protect individual endpoints, such as servers, workstations, and other devices, from unauthorized access, malicious activities, and security breaches. This control involves deploying specialized software agents on host systems to monitor system activity, detect suspicious behavior, and prevent malicious activities in real-time. At its core, Host Intrusion Detection and Prevention aims to identify and respond to security incidents on individual endpoints by analyzing system logs, network traffic, and file integrity to detect compromise and unauthorized access indicators. HIDP solutions employ various detection techniques, including signature-based detection, anomaly detection, and behavior analysis, to identify potential security threats and intrusions.

One of the main objectives of Host Intrusion Detection and Prevention is to provide visibility and control over endpoint security, enabling organizations to detect and respond to security incidents quickly and effectively. Implementing Host Intrusion Detection and Prevention requires deploying specialized software agents on individual endpoints, configuring detection rules and policies, and integrating HIDP solutions with other security controls and systems, such as SIEM (Security Information and Event Management) platforms and security orchestration tools.

In summary, Host Intrusion Detection and Prevention is a security control that helps organizations protect individual endpoints from unauthorized access, malicious activities, and security breaches. By continuously monitoring system activity, detecting suspicious behavior, and responding to security incidents in real time, HIDP solutions enhance the security posture of organizations and reduce the risk of data breaches and cyber attacks targeting host systems.","LEC - Detection - Visibility

LEC - Detection - Monitoring

LEC - Detection - Recognition

LEC - Prevention - Resistance",technical,100000
,Incident Response (IR),"Incident Response is a systematic approach to managing and mitigating security incidents, such as cyber-attacks, data breaches, and unauthorized access, to minimize their impact on an organization's operations, data, and reputation. This security control involves establishing predefined procedures, protocols, and processes to assess, contain, eradicate, and recover from security incidents promptly and effectively. At its core, Incident Response aims to enable organizations to respond promptly and decisively to security incidents by providing a structured framework for identifying, analyzing, and responding to security threats and breaches. It involves establishing roles and responsibilities, defining escalation procedures, and implementing communication channels to facilitate coordination and collaboration among incident response team members.

One of the main objectives of Incident Response is to reduce the impact of security incidents on an organization's operations, data, and reputation by minimizing downtime, data loss, and financial losses associated with security breaches. Additionally, effective Incident Response capabilities reduce attacker dwell time, which consequently limits the attacker's opportunity to inflict more damage.

In summary, Incident Response is a security control that helps organizations respond to and recover from security incidents. By establishing predefined procedures, protocols, and processes for incident analysis, containment, eradication, and recovery, organizations can minimize the impact of security breaches and maintain the confidentiality, integrity, and availability of their data and systems.",LEC - Response - Event Termination,administrative,60000
,Mobile Device Management (MDM),"Mobile Device Management is a security control focused on managing and securing mobile devices, such as smartphones, tablets, and laptops, used by employees within an organization. This control involves deploying software and implementing policies and procedures to monitor, manage, and protect mobile devices and the data they access, store, and transmit. At its core, Mobile Device Management aims to address the security challenges posed by the proliferation of mobile devices in the workplace, including the risk of data loss, unauthorized access, and malware infections. By centralizing device management and enforcing security policies, MDM solutions enable organizations to maintain visibility and control over mobile devices and mitigate the risks associated with their use.

One of the main objectives of Mobile Device Management is to ensure the security and integrity of corporate data on mobile devices by implementing measures to enforce security policies, control device access, and protect against threats. It involves remotely configuring devices, enforcing encryption, enforcing passcode policies, and implementing containerization to separate corporate and personal data.

In summary, Mobile Device Management is a security control that helps organizations secure and manage mobile devices in the workplace. By implementing policies, procedures, and technologies to monitor, manage, and protect mobile devices, organizations can reduce the risk of data breaches, unauthorized access, and other security threats associated with using mobile technology.","VMC - Correction - Implementation

VMC - Identification - Control Monitoring",technical,30000
,Multi-factor Authentication (MFA),"Multi-factor authentication is a security control designed to enhance the security of user authentication by requiring users to provide multiple forms of verification before gaining access to a system, application, or service. At its core, Multi-factor authentication aims to address the limitations of traditional password-based authentication, which can be vulnerable to various security threats, including password guessing, phishing attacks, credential stuffing, and credential theft. By requiring additional verification beyond just a password, MFA significantly reduces the risk of unauthorized access and strengthens the overall security posture of an organization's authentication mechanism.

Multi-factor authentication encompasses several common authentication factors, including:
1. Something the user knows: This typically refers to a password, passphrase, or personal identification number (PIN) that the user must enter during the authentication process.
2. Something the user has: This may include a physical device, such as a smartphone, smart card, or security token, that the user possesses and uses to generate or receive authentication codes or tokens.
3. Something the user is: This involves biometric authentication methods, such as fingerprint scanning, facial recognition, or iris scanning, that use unique physical characteristics to verify the user's identity.

By requiring users to provide multiple forms of authentication, Multi-factor authentication significantly reduces the risk of unauthorized access and strengthens the overall security of an organization's authentication process. Even if one factor is compromised or stolen, attackers would still need to bypass additional authentication measures to gain access, making it significantly more challenging for them to succeed. Implementing Multi-factor authentication requires organizations to deploy appropriate authentication mechanisms, such as one-time passwords (OTP), biometric scanners, and hardware tokens, and integrate them into their existing authentication systems and workflows. 

In summary, Multi-factor authentication is a security control that helps organizations strengthen the security of their authentication processes by requiring users to provide multiple forms of verification before gaining access to systems, applications, or services. By adding a layer of protection beyond just passwords, MFA significantly reduces the risk of unauthorized access and helps protect sensitive information and resources from security threats.
",LEC - Prevention - Resistance,technical,30000
,Network Access Control (NAC),"Network Access Control is a security control designed to regulate and manage access to a network based on the identity, security posture, and compliance status of devices and users attempting to connect to it. This control involves implementing policies, technologies, and procedures to ensure that only authorized and compliant devices and users access the network and unauthorized or non-compliant devices are either blocked or placed in a restricted environment. At its core, Network Access Control aims to enforce security policies and mitigate security risks by controlling and monitoring access to network resources, data, and services. By dynamically assessing and implementing access policies based on the context of each connection attempt, NAC helps organizations prevent unauthorized access, protect against malware infections, and ensure compliance with security policies and regulatory requirements.

One of the main objectives of Network Access Control is to provide comprehensive visibility and control over network access, allowing organizations to identify and respond to security threats and vulnerabilities in real-time. Implementing Network Access Control requires organizations to deploy NAC solutions, configure access policies, and integrate them into their existing network infrastructure and security architecture. 

In summary, Network Access Control is a security control that helps organizations regulate and manage access to their network resources and services. By dynamically assessing and enforcing access policies based on user identity, device security posture, and compliance status, NAC helps organizations prevent unauthorized access, protect against security threats, and ensure compliance with security policies and regulations.","LEC - Prevention - Avoidance

VMC - Prevention - Reduce Variance Probability",technical,30000
,Network Detection and Response (NDR),"Network Detection and Response is a security control designed to detect and respond to cyber threats and malicious activities within a network environment. This control involves monitoring network traffic, analyzing communication patterns, and identifying anomalies or suspicious behavior that may indicate the presence of cyber threats, such as malware infections, unauthorized access attempts, or data exfiltration.

At its core, Network Detection and Response aims to provide organizations with visibility into their network traffic and the ability to detect and respond to security incidents in real-time. By continuously monitoring network activity and analyzing traffic patterns, NDR solutions help organizations identify and investigate security threats, mitigate their impact, and prevent further damage to network resources and data.

One of the main objectives of Network Detection and Response is to enhance the organization's ability to detect and respond to a wide range of cyber threats and security incidents, including advanced persistent threats (APTs), insider threats, and zero-day attacks. It involves deploying advanced threat detection technologies, such as machine learning, behavioral analysis, and signature-based detection, to identify suspicious activity and potential indicators of compromise (IOCs) within the network. Implementing Network Detection and Response requires organizations to deploy NDR solutions, configure them to monitor and analyze network traffic, and integrate them into their existing security infrastructure and processes. 

Network Detection and Response (NDR) focuses on detecting and responding to threats within network traffic, offering real-time analysis and automated response capabilities, while Network Intrusion Detection and Prevention Systems (NIDPS) primarily identify and alert on known signatures or patterns of malicious activity, often lacking the depth of analysis and response capabilities of NDR.

In summary, Network Detection and Response is a security control that helps organizations detect and respond to cyber threats and security incidents within their network environments. By continuously monitoring network traffic, analyzing communication patterns, and identifying anomalies or suspicious behavior, NDR solutions enable organizations to quickly detect and mitigate security threats, protect network resources and data, and maintain a strong security posture.","LEC - Detection - Visibility

LEC - Detection - Monitoring

LEC - Detection - Recognition",technical,100000
,Network Firewall (NFW),"A Network Firewall is a security control designed to monitor and manage incoming and outgoing network traffic based on predetermined security rules. It acts as a barrier between an organization's internal and external networks by filtering traffic to prevent unauthorized access, control data flow, and protect against cyber threats. At its core, a Network Firewall inspects data packets as they pass through the network, compares them against predefined rules or policies, and determines whether to allow, block, or forward the traffic based on these rules. This process helps organizations enforce security policies, control access to network resources, and mitigate the risk of unauthorized access, data breaches, and cyber-attacks.

One of the main objectives of a Network Firewall is to provide defense against a wide range of cyber threats, including malware, viruses, worms, ransomware, and unauthorized access attempts. By filtering and screening network traffic, a Firewall helps organizations identify and block potentially harmful or suspicious activity before it can reach internal systems and compromise sensitive data or resources. Implementing a Network Firewall involves deploying firewall appliances or software solutions at strategic points within the network architecture, such as perimeter gateways, internal network segments, and data center environments. 

In summary, a Network Firewall is a security control that helps organizations protect their networks from unauthorized access, cyber threats, and malicious activity. By filtering and controlling network traffic based on predefined rules and policies, a Firewall serves as a critical barrier between the organization's internal network and the external world, safeguarding sensitive data, resources, and assets from potential security breaches and cyber-attacks.","LEC - Prevention - Avoidance

LEC - Prevention - Resistance

LEC - Detection - Visibility",technical,30000
